"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030104a St. Hanshaugen";"49 years";414
"030104a St. Hanshaugen";"50 years";425
"030104a St. Hanshaugen";"51 years";405
"030104a St. Hanshaugen";"52 years";371
"030104a St. Hanshaugen";"53 years";383
"030104a St. Hanshaugen";"54 years";370
"030104a St. Hanshaugen";"55 years";384
"030104a St. Hanshaugen";"56 years";329
"030104a St. Hanshaugen";"57 years";292
"030104a St. Hanshaugen";"58 years";283
"030104a St. Hanshaugen";"59 years";316
"030104a St. Hanshaugen";"60 years";279
"030104a St. Hanshaugen";"61 years";261
"030104a St. Hanshaugen";"62 years";282
"030104a St. Hanshaugen";"63 years";249
"030104a St. Hanshaugen";"64 years";256
"030104a St. Hanshaugen";"65 years";219
"030104a St. Hanshaugen";"66 years";217
"030104a St. Hanshaugen";"67 years";205
"030104a St. Hanshaugen";"68 years";194
"030104a St. Hanshaugen";"69 years";206
"030104a St. Hanshaugen";"70 years";188
"030104a St. Hanshaugen";"71 years";165
"030104a St. Hanshaugen";"72 years";188
"030104a St. Hanshaugen";"73 years";164
"030104a St. Hanshaugen";"74 years";196
"030104a St. Hanshaugen";"75 years";182
"030104a St. Hanshaugen";"76 years";142
"030104a St. Hanshaugen";"77 years";143
"030104a St. Hanshaugen";"78 years";104
"030104a St. Hanshaugen";"79 years";104
"030104a St. Hanshaugen";"80 years";85
"030104a St. Hanshaugen";"81 years";94
"030104a St. Hanshaugen";"82 years";92
"030104a St. Hanshaugen";"83 years";83
"030104a St. Hanshaugen";"84 years";60
"030104a St. Hanshaugen";"85 years";47
"030104a St. Hanshaugen";"86 years";43
"030104a St. Hanshaugen";"87 years";38
"030104a St. Hanshaugen";"88 years";41
"030104a St. Hanshaugen";"89 years";27
"030104a St. Hanshaugen";"90 years";34
"030104a St. Hanshaugen";"91 years";29
"030104a St. Hanshaugen";"92 years";13
"030104a St. Hanshaugen";"93 years";25
"030104a St. Hanshaugen";"94 years";10
"030104a St. Hanshaugen";"95 years";17
"030104a St. Hanshaugen";"96 years";10
"030104a St. Hanshaugen";"97 years";11
"030104a St. Hanshaugen";"98 years";9
"030104a St. Hanshaugen";"99 years";8
"030104a St. Hanshaugen";"100 years";6
"030104a St. Hanshaugen";"101 years";3
"030104a St. Hanshaugen";"102 years";0
"030104a St. Hanshaugen";"103 years";2
"030104a St. Hanshaugen";"104 years";1
"030104a St. Hanshaugen";"105 years or older";6
"030105a Frogner";"0 years";565
"030105a Frogner";"1 year";454
"030105a Frogner";"2 years";397
"030105a Frogner";"3 years";376
"030105a Frogner";"4 years";371
"030105a Frogner";"5 years";342
"030105a Frogner";"6 years";334
"030105a Frogner";"7 years";339
"030105a Frogner";"8 years";318
"030105a Frogner";"9 years";335
"030105a Frogner";"10 years";328
"030105a Frogner";"11 years";322
"030105a Frogner";"12 years";358
"030105a Frogner";"13 years";304
"030105a Frogner";"14 years";336
"030105a Frogner";"15 years";342
"030105a Frogner";"16 years";344
"030105a Frogner";"17 years";334
"030105a Frogner";"18 years";362
"030105a Frogner";"19 years";474
"030105a Frogner";"20 years";592
"030105a Frogner";"21 years";925
"030105a Frogner";"22 years";1074
"030105a Frogner";"23 years";1249
"030105a Frogner";"24 years";1526
"030105a Frogner";"25 years";1857
"030105a Frogner";"26 years";1939
"030105a Frogner";"27 years";1900
"030105a Frogner";"28 years";1878
"030105a Frogner";"29 years";1811
"030105a Frogner";"30 years";1585
"030105a Frogner";"31 years";1622
"030105a Frogner";"32 years";1432
"030105a Frogner";"33 years";1264
"030105a Frogner";"34 years";1169
"030105a Frogner";"35 years";1034
"030105a Frogner";"36 years";954
"030105a Frogner";"37 years";891
"030105a Frogner";"38 years";797
"030105a Frogner";"39 years";809
"030105a Frogner";"40 years";751
"030105a Frogner";"41 years";711
"030105a Frogner";"42 years";724
"030105a Frogner";"43 years";658
"030105a Frogner";"44 years";633
